session_id;session_title;first_speaker;track;session_type;experience_Level;session_abstract
1493010462777001Xdjf;Let’s Write Our Own Chip-8 Interpreter!;The Chip-8 language is a very simple virtual machine specification for which we can easily build a runtime in Java. Due to its simplicity, the implementation for a Chip-8 interpreter can easily be grasped and explained in detail during this single session. Despite this simplicity, the presentation covers many of the issues faced when we use Java to emulate/simulate other architectures. It also looks at some common issues faced by emulation authors when using the Java platform to implement runtimes for more-complex architectures such as 8-bit/16-bit computers or even early home video game systems.;David Buck;Emerging Languages;Conference Session;Intermediate;The Chip-8 language is a very simple virtual machine specification for which we can easily build a runtime in Java. Due to its simplicity, the implementation for a Chip-8 interpreter can easily be grasped and explained in detail during this single session. Despite this simplicity, the presentation covers many of the issues faced when we use Java to emulate/simulate other architectures. It also looks at some common issues faced by emulation authors when using the Java platform to implement runtimes for more-complex architectures such as 8-bit/16-bit computers or even early home video game systems.
1492983914591001XCrQ;Make Your CPU Cores Sweat with Parallel Streams;Prior to Java 8, you always had to use threads to leverage multicore architectures, which did the job but could often be somewhat difficult. The Java 8 Streams API changed this, by providing a new and simpler way of thinking about parallelism: parallel streams. Even though parallel streams can help you achieve parallelism almost for free, you still have to follow some basic but important rules that you will learn in this session, together with some best practices. Discover what happens under the hood when you invoke that magic parallelStream method, understand how to avoid the main traps and performance hiccups, learn what a Spliterator is, and much more!;Lukasz Pater;Core Java Platform;Conference Session;Intermediate;Prior to Java 8, you always had to use threads to leverage multicore architectures, which did the job but could often be somewhat difficult. The Java 8 Streams API changed this, by providing a new and simpler way of thinking about parallelism: parallel streams. Even though parallel streams can help you achieve parallelism almost for free, you still have to follow some basic but important rules that you will learn in this session, together with some best practices. Discover what happens under the hood when you invoke that magic parallelStream method, understand how to avoid the main traps and performance hiccups, learn what a Spliterator is, and much more!
1493007989487001gBTM;OpenJ9: Under the Hood of the Next Open Source JVM;Interested in how a JVM actually works? Want to understand the design of OpenJ9? OpenJ9 is the next open source JVM, based on J9, IBM’s cross-platform production JVM, and the Eclipse OMR project. Come to this session to learn the design principles behind the OpenJ9 runtime and how key data structures interconnect to bring a JVM to life. Follow your application code as it’s loaded, linked, and excuted on OpenJ9.;Dan Heidinga;Core Java Platform;Conference Session;Intermediate;Interested in how a JVM actually works? Want to understand the design of OpenJ9? OpenJ9 is the next open source JVM, based on J9, IBM’s cross-platform production JVM, and the Eclipse OMR project. Come to this session to learn the design principles behind the OpenJ9 runtime and how key data structures interconnect to bring a JVM to life. Follow your application code as it’s loaded, linked, and excuted on OpenJ9.
1493016895955001AYFr;OpenJDK: How to Join In on All the Fun;OpenJDK is a huge open source project with hundreds of participants working on the backbone of Java SE, a platform that more than 9 million developers worldwide depend on. Yet despite this level of interest, many people initially find the process of contributing code to OpenJDK to be complicated and even intimidating. But this simple crash course covers all the basics, from setting up a work environment to submitting your first patch for review. Some of the topics covered: the Java Bug Database, using Mercurial to clone a repository and create a change set, jcheck, jtreg, webrevs, repository layouts, the OpenJDK code review process, and eventually even obtaining your own OpenJDK user ID (after several contributions).;David Buck;Java Community;Conference Session;Intermediate;OpenJDK is a huge open source project with hundreds of participants working on the backbone of Java SE, a platform that more than 9 million developers worldwide depend on. Yet despite this level of interest, many people initially find the process of contributing code to OpenJDK to be complicated and even intimidating. But this simple crash course covers all the basics, from setting up a work environment to submitting your first patch for review. Some of the topics covered: the Java Bug Database, using Mercurial to clone a repository and create a change set, jcheck, jtreg, webrevs, repository layouts, the OpenJDK code review process, and eventually even obtaining your own OpenJDK user ID (after several contributions).
1493030452837001TWNy;Spice Up Your JUG with New Event Formats;This BOF discusses what other types of events can be organized in a JUG beyond typical talks. What have people tried in the past? What went well, and what could be improved? What other ideas do you have for your JUG? The goal is to share experiences so that all of us go back with great ideas about things we want to try in our JUG.;Michael Heinrichs;Developer Community Day: Community;Conference Session;Introductory;This BOF discusses what other types of events can be organized in a JUG beyond typical talks. What have people tried in the past? What went well, and what could be improved? What other ideas do you have for your JUG? The goal is to share experiences so that all of us go back with great ideas about things we want to try in our JUG.
1492997038106001Tjf2;Supercharged JavaFX with Kotlin and TornadoFX;This session presents an introduction to TornadoFX, a lightweight JavaFX framework for Kotlin. With its unique type-safe builder DSL, type-safe CSS, built-in REST client, and unique components such as Wizard, Forms, DataGrid, and data-driven TreeView—to mention a few—TornadoFX is a breath of fresh air in the JavaFX landscape. While enabling you to leverage your existing JavaFX knowledge, TornadoFX code utilizes Kotlin, the new JVM language star from JetBrains, to produce concise, expressive, and beautiful code with close to zero boilerplate. The session includes an overview of the framework and code comparisons to vanilla JavaFX, giving you the knowledge you need in order to get started writing powerful desktop applications in TornadoFX.;Thomas Nield;Java Clients and User Interfaces;Conference Session;Introductory;This session presents an introduction to TornadoFX, a lightweight JavaFX framework for Kotlin. With its unique type-safe builder DSL, type-safe CSS, built-in REST client, and unique components such as Wizard, Forms, DataGrid, and data-driven TreeView—to mention a few—TornadoFX is a breath of fresh air in the JavaFX landscape. While enabling you to leverage your existing JavaFX knowledge, TornadoFX code utilizes Kotlin, the new JVM language star from JetBrains, to produce concise, expressive, and beautiful code with close to zero boilerplate. The session includes an overview of the framework and code comparisons to vanilla JavaFX, giving you the knowledge you need in order to get started writing powerful desktop applications in TornadoFX.
1493016519232001g1Nu;The Hacker’s Guide to Session Hijacking;Broken authentication and session management are among the most prominent security vulnerabilities, according to the OWASP top 10 security risk list. Many developers assume that authentication and session management work out of the box in Java EE. Unfortunately, that’s not the case. Even though Java EE provides support for secure authentication and session management, it’s still developers’ responsibility to use them correctly. In this presentation’s live demos, you’ll learn how to hijack a session by exploiting common security vulnerabilities on the client side, on the server side, and in transport. You’ll also find out about common mistakes and omissions related to authentication and session management, along with the ways to protect your applications by using Java EE mechanisms.;Patrycja Wegrzynowicz;Java, Cloud, and Server-Side Development;Conference Session;Intermediate;Broken authentication and session management are among the most prominent security vulnerabilities, according to the OWASP top 10 security risk list. Many developers assume that authentication and session management work out of the box in Java EE. Unfortunately, that’s not the case. Even though Java EE provides support for secure authentication and session management, it’s still developers’ responsibility to use them correctly. In this presentation’s live demos, you’ll learn how to hijack a session by exploiting common security vulnerabilities on the client side, on the server side, and in transport. You’ll also find out about common mistakes and omissions related to authentication and session management, along with the ways to protect your applications by using Java EE mechanisms.
1493014764111001bkNY;Architecting for Failure: Why Are Distributed Systems Hard?;As we architect our systems for greater demands, scale, uptime, and performance, the hardest thing to control becomes the environment in which we deploy and the subtle but crucial interactions between complicated systems. And microservices obviously are the way to go forward with those complicated systems. But what makes it so hard to build them? And why should you embrace failure instead of doing what we can do best: preventing failure. This session introduces you to the problem domain of a distributed system that consists of a couple of microservices. It shows how to build, deploy, and orchestrate the chaos and introduces you to a couple of patterns for preventing and compensating for failure.;Markus Eisele;Java, Cloud, and Server-Side Development;Conference Session;Intermediate;As we architect our systems for greater demands, scale, uptime, and performance, the hardest thing to control becomes the environment in which we deploy and the subtle but crucial interactions between complicated systems. And microservices obviously are the way to go forward with those complicated systems. But what makes it so hard to build them? And why should you embrace failure instead of doing what we can do best: preventing failure. This session introduces you to the problem domain of a distributed system that consists of a couple of microservices. It shows how to build, deploy, and orchestrate the chaos and introduces you to a couple of patterns for preventing and compensating for failure.1493002154429001Al3r;Be Pragmatic;Being pragmatic in software development is rarer than one would expect or hope. We’ve seen all sorts of craziness throughout the years. Architects, analysts, and developers doing and believing things that simply make no sense in any world. Using examples from his experience, this session’s speaker teaches you tricks for really being pragmatic. This will enable you to quickly develop software that people really want to use. Whether you are a manager or a developer, you should find it useful.;Henri Tremblay;Developer Community Day: Community;Conference Session;Introductory;Being pragmatic in software development is rarer than one would expect or hope. We’ve seen all sorts of craziness throughout the years. Architects, analysts, and developers doing and believing things that simply make no sense in any world. Using examples from his experience, this session’s speaker teaches you tricks for really being pragmatic. This will enable you to quickly develop software that people really want to use. Whether you are a manager or a developer, you should find it useful.
1492960088073001XxCn;Bring Your Favorite Kafka to Java EE with CDI;Since Java EE 6, CDI is gradually becoming the backbone of any Java EE application. It automatically manages the lifecycle of dependencies and further increases decoupling with events and interceptors. However, if you want to integrate another library, you will have to adjust your code to that library API. Come to this session to learn how you can write your own CDI extension to make external APIs look like native CDI. You will see what the CDI container does under the hood to automatically load Kafka consumers and producers, make them injectable in your code, and hide all the library-specific plumbing code. You will also learn the basic techniques for making your favorite framework portable across all the Java EE containers.;Ivan St. Ivanov;Java, Cloud, and Server-Side Development;Conference Session;Intermediate;Since Java EE 6, CDI is gradually becoming the backbone of any Java EE application. It automatically manages the lifecycle of dependencies and further increases decoupling with events and interceptors. However, if you want to integrate another library, you will have to adjust your code to that library API. Come to this session to learn how you can write your own CDI extension to make external APIs look like native CDI. You will see what the CDI container does under the hood to automatically load Kafka consumers and producers, make them injectable in your code, and hide all the library-specific plumbing code. You will also learn the basic techniques for making your favorite framework portable across all the Java EE containers.
1492962426206001bmB0;Easily Secure Your Front- and Back-End Applications with KeyCloak;Although security is a crucial aspect for any application, its implementation can be difficult. Worse, it is often neglected, poorly implemented, and intrusive in code. But lately security servers have appeared that make it possible to delegate all authentication and authorization aspects, such as https://auth0.com/. Of these servers, one of the most promising is KeyCloak. Open-source and agnostic of any technology, it is easily deployable/adaptable in its own infrastructure. In this session, you will discover KeyCloak progressively and in an interactive way: 0 slides, 100% live coding. From securing an “old school” Java EE app and a Node.js microservice to a standalone AngularJS web app, you’ll see demonstrations of all aspects of KeyCloak. ;Sébastien Blanc;Java, Cloud, and Server-Side Development;Conference Session;Intermediate;Although security is a crucial aspect for any application, its implementation can be difficult. Worse, it is often neglected, poorly implemented, and intrusive in code. But lately security servers have appeared that make it possible to delegate all authentication and authorization aspects, such as https://auth0.com/. Of these servers, one of the most promising is KeyCloak. Open-source and agnostic of any technology, it is easily deployable/adaptable in its own infrastructure. In this session, you will discover KeyCloak progressively and in an interactive way: 0 slides, 100% live coding. From securing an “old school” Java EE app and a Node.js microservice to a standalone AngularJS web app, you’ll see demonstrations of all aspects of KeyCloak. 
1492986377081001Tz52;Eclipse Che for Java Microservice Developers;Eclipse Che is well known as a cloud-based IDE. Che pushes cloud-based IDE features a step further and provides cloud-based development workspace support. This session introduces the workspace management features of Che. It also shows how Java-based-microservice developers can take advantage of the workspaces for quicker and more accurate development cycles.;Gorkem Ercan;Java Development Tools;Conference Session;Intermediate;Eclipse Che is well known as a cloud-based IDE. Che pushes cloud-based IDE features a step further and provides cloud-based development workspace support. This session introduces the workspace management features of Che. It also shows how Java-based-microservice developers can take advantage of the workspaces for quicker and more accurate development cycles.
1493008570070001gJZg;Extreme Vetting: Five Open-Source APM Tools and Their Resource Overhead;Extreme vetting sounds a little painful, but that is exactly what’s necessary to build up enough trust in an open source APM (application performance management) product that you would deploy it into production. Does the APM tool eat more CPU/RAM than your application? Does it halve your app’s speed? Is the APM tool a walking memory leak? The best way to answer these questions is to compare load generator and CPU/RAM metrics with and without the APM tool installed. In this session, five open source APM tools are each subjected to 12 different load tests. The results are compared with those of tests of the 12 without any APM tool. Each of the 12 tests contains a commonly found performance defect in a Java server-side system.;Erik Ostermueller;Java Development Tools;Conference Session;Intermediate;Extreme vetting sounds a little painful, but that is exactly what’s necessary to build up enough trust in an open source APM (application performance management) product that you would deploy it into production. Does the APM tool eat more CPU/RAM than your application? Does it halve your app’s speed? Is the APM tool a walking memory leak? The best way to answer these questions is to compare load generator and CPU/RAM metrics with and without the APM tool installed. In this session, five open source APM tools are each subjected to 12 different load tests. The results are compared with those of tests of the 12 without any APM tool. Each of the 12 tests contains a commonly found performance defect in a Java server-side system.
1493039382404001AZGB;It’s Java, but Not As We Know It;This presentation starts with a review of lambda expressions in JDK 8 and then digs into the performance implications of using them, looking at the use of invokedynamic rather than simple syntactic sugar for anonymous inner classes. The origins of lambda expressions go back 80 years, well before Java (and even modern computing) started. They are based on the work of Alonso Church, who created lambda calculus as a mathematical model of computation. The session concludes by exploring how, using only one new functional interface, we can (in theory) solve any problem by using only lambda expressions.  This really is Java, but most of it won’t look like any code you’ve ever seen. Be prepared for some mind-bending use of lambda expressions!;Simon Ritter;Core Java Platform;Conference Session;Intermediate;This presentation starts with a review of lambda expressions in JDK 8 and then digs into the performance implications of using them, looking at the use of invokedynamic rather than simple syntactic sugar for anonymous inner classes. The origins of lambda expressions go back 80 years, well before Java (and even modern computing) started. They are based on the work of Alonso Church, who created lambda calculus as a mathematical model of computation. The session concludes by exploring how, using only one new functional interface, we can (in theory) solve any problem by using only lambda expressions.  This really is Java, but most of it won’t look like any code you’ve ever seen. Be prepared for some mind-bending use of lambda expressions!
1493037974102001bqZg;JavaFX 101;JavaFX is cool, fresh, and practical—at least since Java 8. It comes with interesting features such as FXML, which is used to declare views, CSS, for styling the UI, and a Property API to model data flows between architectural layers. With many other useful APIs such as the Animation API, JavaFX became a state-of-the-art UI toolkit that can be used to create desktop, mobile, and even browser applications. This session gives you an idea of its benefits and how you can start exploring this useful toolkit. Live coding is included.;Alexander Casall;Java Clients and User Interfaces;Conference Session;Introductory;JavaFX is cool, fresh, and practical—at least since Java 8. It comes with interesting features such as FXML, which is used to declare views, CSS, for styling the UI, and a Property API to model data flows between architectural layers. With many other useful APIs such as the Animation API, JavaFX became a state-of-the-art UI toolkit that can be used to create desktop, mobile, and even browser applications. This session gives you an idea of its benefits and how you can start exploring this useful toolkit. Live coding is included.
1492986248969001XT76;Migrating Your GUI from Swing to JavaFX: Lessons from Experience;JavaFX, now a mature GUI toolkit, provides a modern API informed by evolutions in graphical interface design and implementation. JavaFX offers good support for customizing presentations (via CSS) and enhancing your interface through animations, but many Java programs have interfaces written in its predecessor, Swing, which is in maintenance rather than active development. This session’s speakers describe their experiences in transitioning a reasonable-size Swing GUI to JavaFX. They talk about why and how they did it, explaining what they learned in the process.  This should be of interest to anyone with an existing Swing GUI who is thinking about making the move to JavaFX.;Amjad Altadmri;Java Clients and User Interfaces;Conference Session;Intermediate;JavaFX, now a mature GUI toolkit, provides a modern API informed by evolutions in graphical interface design and implementation. JavaFX offers good support for customizing presentations (via CSS) and enhancing your interface through animations, but many Java programs have interfaces written in its predecessor, Swing, which is in maintenance rather than active development. This session’s speakers describe their experiences in transitioning a reasonable-size Swing GUI to JavaFX. They talk about why and how they did it, explaining what they learned in the process.  This should be of interest to anyone with an existing Swing GUI who is thinking about making the move to JavaFX.
1492953612491001bk1t;Polyglot Adventures for the Modern Java Developer;Use the right tool for the job! That’s the motto of this session. As modern developers, we need to master several different languages all at once to be 100 percent productive. We define our development environments with Gradle. We implement our software in Java, Kotlin, or another suitable JVM-based language. We use Groovy or Scala to test our code at different layers. We construct the build pipelines for our software with a Groovy DSL or JSON. We use YAML and Python to describe the infrastructure and deployment of our applications. We document our architectures with AsciiDoc and Java. This code-intense, polyglot session is a fun and opinionated journey into the modern era of software development.;Mario-Leander Reimer;Emerging Languages;Conference Session;Introductory;Use the right tool for the job! That’s the motto of this session. As modern developers, we need to master several different languages all at once to be 100 percent productive. We define our development environments with Gradle. We implement our software in Java, Kotlin, or another suitable JVM-based language. We use Groovy or Scala to test our code at different layers. We construct the build pipelines for our software with a Groovy DSL or JSON. We use YAML and Python to describe the infrastructure and deployment of our applications. We document our architectures with AsciiDoc and Java. This code-intense, polyglot session is a fun and opinionated journey into the modern era of software development.
1492846528358001TgPp;ACID Is So Yesterday: Maintaining Data Consistency with Sagas;The services in a microservice architecture must be loosely coupled and so cannot share database tables. What’s more, two-phase commit (aka a distributed transaction) is not a viable option for modern applications. Consequently, a microservice-based application must use so-called sagas to maintain data consistency between services. In this presentation, you will learn how sagas work and how they differ from traditional ACID transactions. You will also learn how to design and implement sagas for your applications.;Chris Richardson;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;Conference Session;Intermediate;The services in a microservice architecture must be loosely coupled and so cannot share database tables. What’s more, two-phase commit (aka a distributed transaction) is not a viable option for modern applications. Consequently, a microservice-based application must use so-called sagas to maintain data consistency between services. In this presentation, you will learn how sagas work and how they differ from traditional ACID transactions. You will also learn how to design and implement sagas for your applications.
1492807993629001A703;Boost Your Skills with Open Source;Believe it or not, software development does not happen on Stackoverflow. It doesn’t even happen in the IDE of your choice. It’s all in your head. And to stay in the game and work on exciting projects, we have to learn new technologies and skills. It’s a critical part of our job yet the most exciting one—we have to constantly learn. Attend this session to learn not only what open source is and how you can contribute to it but mainly how it can help you boost your skills and career.;Bartosz Majsak;Developer Community Day: Community;Conference Session;Introductory;Believe it or not, software development does not happen on Stackoverflow. It doesn’t even happen in the IDE of your choice. It’s all in your head. And to stay in the game and work on exciting projects, we have to learn new technologies and skills. It’s a critical part of our job yet the most exciting one—we have to constantly learn. Attend this session to learn not only what open source is and how you can contribute to it but mainly how it can help you boost your skills and career.
1492890329430001T303;Building from Minutes to Seconds: Maximizing Incrementality with Gradle;Nobody likes slow builds. It easily becomes frustrating when we, as developers, know that the build tool is doing more than it needs to. Why would you run clean if all you need is a single class to be recompiled? Why would you even try to recompile if the change you made is irrelevant to the compiler? In this session, you’ll learn how to leverage the new java-library plugin to avoid leaking dependencies, reduce your build times, and make publication safer. You’ll also learn what “compile avoidance” means, particularly in terms of modeling, and how to make your tasks incremental. And you’ll get hints about what the future looks like: faster, more precise, incremental, and reproducible builds.;Cédric Champeau;Java Development Tools;Conference Session;Intermediate;Nobody likes slow builds. It easily becomes frustrating when we, as developers, know that the build tool is doing more than it needs to. Why would you run clean if all you need is a single class to be recompiled? Why would you even try to recompile if the change you made is irrelevant to the compiler? In this session, you’ll learn how to leverage the new java-library plugin to avoid leaking dependencies, reduce your build times, and make publication safer. You’ll also learn what “compile avoidance” means, particularly in terms of modeling, and how to make your tasks incremental. And you’ll get hints about what the future looks like: faster, more precise, incremental, and reproducible builds.
1492890060675001ANDx;Creating a Connected Home: Live Coding and Demos;Wouldn’t you love to be able to walk into a room and use your phone or voice to turn on your lights? When you are relaxing on the couch, listening to music, wouldn’t it be nice to just talk to your speaker to turn up the volume or change the song? Can you imagine being able to turn on the fan by just saying you are hot? In this session, Java Champion and four-time JavaOne Rock Star Kevin Nilson and his 12-year-old son, Andy, do a live-coding demo of creating a connected home.;Andy Nilson;Java and Devices;Conference Session;Introductory;Wouldn’t you love to be able to walk into a room and use your phone or voice to turn on your lights? When you are relaxing on the couch, listening to music, wouldn’t it be nice to just talk to your speaker to turn up the volume or change the song? Can you imagine being able to turn on the fan by just saying you are hot? In this session, Java Champion and four-time JavaOne Rock Star Kevin Nilson and his 12-year-old son, Andy, do a live-coding demo of creating a connected home.
149279704360600107ja;Designing for Modularity with Java 9;Java 9 brings modules as a core concept to the platform, but it’s more than just a language feature. With modules in Java 9, we can improve the design of code to increase maintainability and extensibility. As with every design principle, modularity requires thought and trade-offs to really reap the benefits. This session covers design practices for making codebases more maintainable and extensible. You will also find out about trade-offs to help you make the best choices. Topics include hiding implementations, using services for extensibility, API modules, avoiding cycles, optional dependencies, and dynamically loading modules. Familiarity with modules is helpful but not required. The speakers are the authors of <i>Java 9 Modularity</i> (O’Reilly).;Sander Mak;Core Java Platform;Conference Session;Intermediate;Java 9 brings modules as a core concept to the platform, but it’s more than just a language feature. With modules in Java 9, we can improve the design of code to increase maintainability and extensibility. As with every design principle, modularity requires thought and trade-offs to really reap the benefits. This session covers design practices for making codebases more maintainable and extensible. You will also find out about trade-offs to help you make the best choices. Topics include hiding implementations, using services for extensibility, API modules, avoiding cycles, optional dependencies, and dynamically loading modules. Familiarity with modules is helpful but not required. The speakers are the authors of <i>Java 9 Modularity</i> (O’Reilly).
1492779813414001kcn4;Improving Your Groovy Kung-Fu;This no-slide presentation works through a wide variety of Groovy moves: from hidden treasures in the language itself through Groovy helpers for your daily work as a programmer to exercising the latest and greatest Groovy libraries and frameworks. This is an interactive event. Toss in your questions to help steer the direction of the session.;Dierk Koenig;Emerging Languages;Conference Session;Introductory;This no-slide presentation works through a wide variety of Groovy moves: from hidden treasures in the language itself through Groovy helpers for your daily work as a programmer to exercising the latest and greatest Groovy libraries and frameworks. This is an interactive event. Toss in your questions to help steer the direction of the session.
149271421995600101xC;Interactive Data Analytics and Visualization with Collaborative Documents;Zeppelin, Jupyter, Databricks: notebooks are everywhere. This session presents the Oracle Labs Data Studio, a JVM-based notebook interface for data analysts built on Apache Zeppelin and Oracle JavaScript Extension Toolkit (Oracle JET). It shows use cases that focus on graph visualization and how to visually apply graph algorithms with interpreters such as Apache Spark, databases, and the graph analytic framework PGX. Using notebooks, you can combine different languages such as Groovy, Scala, Python, and the new property graph query language PGQL together with powerful JavaScript-based visualization techniques. The interactive graph visualization supports highlighting, expansion, filter application, and much more. Everything is preconfigured and executable directly from the browser.;Hassan Chafi;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;Conference Session;Advanced;Zeppelin, Jupyter, Databricks: notebooks are everywhere. This session presents the Oracle Labs Data Studio, a JVM-based notebook interface for data analysts built on Apache Zeppelin and Oracle JavaScript Extension Toolkit (Oracle JET). It shows use cases that focus on graph visualization and how to visually apply graph algorithms with interpreters such as Apache Spark, databases, and the graph analytic framework PGX. Using notebooks, you can combine different languages such as Groovy, Scala, Python, and the new property graph query language PGQL together with powerful JavaScript-based visualization techniques. The interactive graph visualization supports highlighting, expansion, filter application, and much more. Everything is preconfigured and executable directly from the browser.
14926176957820013hZT;Servlet 4.0: A New Twist on an Old Favorite;Java Servlets have been around for longer than Java EE, or even J2EE. This session from the co–spec leads surveys the new features in Servlet 4.0 and puts them in the context of their usefulness in a contemporary microservices-style architecture. Features covered include<br>&bull, Support for HTTP/2, including server push<br>The session examines these features in light of current application development trends, such as containerization, continuous delivery, 12-factor apps, and adapting legacy apps to take advantage of cloud-native technologies.;Ed Burns;Java, Cloud, and Server-Side Development;Conference Session;Intermediate;Java Servlets have been around for longer than Java EE, or even J2EE. This session from the co–spec leads surveys the new features in Servlet 4.0 and puts them in the context of their usefulness in a contemporary microservices-style architecture. Features covered include<br>&bull, Support for HTTP/2, including server push<br>&bull, Default context path<br>&bull, Mapping discovery<br>&bull, Encoding clarifications<br>&bull, HTTP trailers, including their relevance to gRPC<br><br>The session examines these features in light of current application development trends, such as containerization, continuous delivery, 12-factor apps, and adapting legacy apps to take advantage of cloud-native technologies.
1492825985264001TGrf;What’s New in Gradle 4.0;Since version 3.0, the Gradle build tool has added lots of new features and performance improvements. This session covers the highlights from Gradle 3.0 to 4.0, including<br>;Eric Wendelin;Java Development Tools;Conference Session;Introductory;Since version 3.0, the Gradle build tool has added lots of new features and performance improvements. This session covers the highlights from Gradle 3.0 to 4.0, including<br>&bull, Composite builds<br>&bull, Gradle’s build cache<br>&bull, Incremental compilation<br>&bull, Improved user experience<br>&bull, Gradle Enterprise<br>&bull, And more
1492782291675001ZXJk;A Competitive Food Retail Architecture with Microservices;Two years ago, REWE Digital started refactoring a monolith into a microservice platform. This session’s speakers want to share the lessons the company learned the hard way and provide some answers to questions it ran into:<br> 
1492617953914001F4UR;Contemporary Java Web Applications with JSF 2.3;JavaServer Faces 2.3 is the standard UI framework for Java EE 8. This version of JSF brings a host of community-driven features into the standard, pulling many ideas from the vibrant ecosystem of innovation. This conference session from the co–spec leads surveys the new features and puts them in the context of their usefulness in a contemporary microservices-style architecture. Features covered include<br>The session examines the continued relevance of state-heavy frameworks such as JSF even in light of the movement to the cloud and stateless applications.;Ed Burns;Java, Cloud, and Server-Side Development;Conference Session;Intermediate;JavaServer Faces 2.3 is the standard UI framework for Java EE 8. This version of JSF brings a host of community-driven features into the standard, pulling many ideas from the vibrant ecosystem of innovation. This conference session from the co–spec leads surveys the new features and puts them in the context of their usefulness in a contemporary microservices-style architecture. Features covered include<br>• Use of Servlet 4.0 server push<br>• WebSocket push<br>• Ajax method invocation<br>• Multifield validation<br>• Tighter CDI integration<br>  • Component search expressions<br><br>  The session examines the continued relevance of state-heavy frameworks such as JSF even in light of the movement to the cloud and stateless applications.
1492788170010001ZtiW;JAX-RS and CDI Bike the (Reactive) Bridge;Reactive is the new black! You think that going reactive would be the way to move your application forward, but for many reasons, you cannot embrace Rx or some other reactive framework. The good news is that you can do it today with Java EE 8 and the JDK. This session explains how JAX-RS and CDI became reactive-capable in Java EE 8. The presentation puts some new features of JAX-RS 2.1 and CDI 2.0 into perspective and shows some reactive patterns to improve your application. Add Java 8 CompletionStage to the mix, and this API trio will become your best bet to easily go reactive without leaving the Java EE train. If you come to this session, you will realize that crossing the reactive bridge might be easier than biking the Golden Gate!;José Paumard;Java, Cloud, and Server-Side Development;Conference Session;Intermediate;Reactive is the new black! You think that going reactive would be the way to move your application forward, but for many reasons, you cannot embrace Rx or some other reactive framework. The good news is that you can do it today with Java EE 8 and the JDK. This session explains how JAX-RS and CDI became reactive-capable in Java EE 8. The presentation puts some new features of JAX-RS 2.1 and CDI 2.0 into perspective and shows some reactive patterns to improve your application. Add Java 8 CompletionStage to the mix, and this API trio will become your best bet to easily go reactive without leaving the Java EE train. If you come to this session, you will realize that crossing the reactive bridge might be easier than biking the Golden Gate!
1492808911209001TYRA;JDK 9 Language, Tooling, and Library Features;Modularity support from Project Jigsaw is the largest change coming in Java SE 9, but many other improvements are coming to the Java programming language, related tooling, and libraries in JDK 9. On the language front, some polish is added to the Project Coin features and the number of uninformative warnings has been reduced. The javac tool can now accurately cross-compile to older platform versions and has improved attribution engineering to better support type inference. Javadoc is getting a search box, a new modernized doclet API, and HTML5 support. The libraries offer better process control, improved collections, and more-compact strings. Learn more in this session.;Joe Darcy;Core Java Platform;Conference Session;Intermediate;Modularity support from Project Jigsaw is the largest change coming in Java SE 9, but many other improvements are coming to the Java programming language, related tooling, and libraries in JDK 9. On the language front, some polish is added to the Project Coin features and the number of uninformative warnings has been reduced. The javac tool can now accurately cross-compile to older platform versions and has improved attribution engineering to better support type inference. Javadoc is getting a search box, a new modernized doclet API, and HTML5 support. The libraries offer better process control, improved collections, and more-compact strings. Learn more in this session.
1492885405386001bvj9;Machine Learning for Java Developers in 45 Minutes;This session clarifies and defines machine learning for Java developers. You’ll learn about its relationship to artificial intelligence (AI) and why machine learning is evolving at such a rapid pace. The session also describes the types of learning styles: supervised learning, unsupervised learning, and deep learning. You’ll hear about various use cases that are directly suitable for machine learning. Most importantly, the presentation focuses on how Java developers can take advantage of machine learning in their applications.;Zoran Sevarac;Java and Devices;Conference Session;Intermediate;This session clarifies and defines machine learning for Java developers. You’ll learn about its relationship to artificial intelligence (AI) and why machine learning is evolving at such a rapid pace. The session also describes the types of learning styles: supervised learning, unsupervised learning, and deep learning. You’ll hear about various use cases that are directly suitable for machine learning. Most importantly, the presentation focuses on how Java developers can take advantage of machine learning in their applications.
1492814347618001Aj6O;Modular Development with JDK 9;A modular development style benefits every Java developer, whether the application is one JAR or one hundred JARs. This session introduces the Java 9 module system that's been used to structure the JDK as dozens of reusable modules that strongly protect their internals. Then it explains how you can create modules to enforce the structure inherent in your application. It will prepare you for some of the pitfalls of modular development, notably the technical debt present in popular libraries that rely on JDK internals. Finally, the session looks at how tools are preparing for modules.;Alex Buckley;Core Java Platform;Conference Session;Introductory;A modular development style benefits every Java developer, whether the application is one JAR or one hundred JARs. This session introduces the Java 9 module system that's been used to structure the JDK as dozens of reusable modules that strongly protect their internals. Then it explains how you can create modules to enforce the structure inherent in your application. It will prepare you for some of the pitfalls of modular development, notably the technical debt present in popular libraries that rely on JDK internals. Finally, the session looks at how tools are preparing for modules.
